,x,y,color,cluster
SGK1_TBX2,109.8568,114.6392,#9457db,10
SGK1_TBX3,109.646126,114.883224,#cccccc,-1
SLC4A1_NegCtrl0,106.415215,113.5604,#cccccc,-1
SLC6A9_NegCtrl0,107.752106,115.74247,#cccccc,-1
SNAI1_DLX2,114.42299,112.584595,#cccccc,-1
SNAI1_NegCtrl0,114.05485,113.526375,#cccccc,-1
SNAI1_UBASH3B,113.17138,114.262596,#cccccc,-1
SPI1_NegCtrl0,114.740135,103.7309,#db9457,6
STIL_NegCtrl0,114.66475,106.90341,#cccccc,-1
TBX2_NegCtrl0,110.00278,115.68016,#9457db,10
TBX3_NegCtrl0,108.90181,115.27501,#cccccc,-1
TBX3_TBX2,109.34854,115.445145,#9457db,10
TGFBR2_CBARP,107.61241,111.91313,#cccccc,-1
TGFBR2_ETS2,102.747604,101.20627,#cccccc,-1
TGFBR2_IGDCC3,98.14009,106.56899,#57dbc9,5
TGFBR2_NegCtrl0,97.17832,107.4416,#cccccc,-1
TGFBR2_PRTG,98.97907,106.93215,#57dbc9,5
TMSB4X_BAK1,106.88672,105.429504,#cccccc,-1
TMSB4X_NegCtrl0,107.251915,106.20855,#cccccc,-1
TP73_NegCtrl0,113.424866,107.41771,#5f57db,12
TSC22D1_NegCtrl0,108.645515,116.01715,#cccccc,-1
UBASH3A_NegCtrl0,106.81807,117.50345,#cccccc,-1
UBASH3B_CNN1,110.668045,118.47546,#b9db57,11
UBASH3B_NegCtrl0,108.85004,117.75491,#cccccc,-1
UBASH3B_OSR2,112.18101,98.889496,#cccccc,-1
UBASH3B_PTPN12,111.726585,120.85838,#b9db57,11
UBASH3B_PTPN9,109.67114,117.55345,#b9db57,11
UBASH3B_UBASH3A,108.00027,116.8518,#b9db57,11
UBASH3B_ZBTB25,109.36088,118.89123,#b9db57,11
ZBTB10_DLX2,115.847916,111.605125,#cccccc,-1
ZBTB10_ELMSAN1,115.15636,111.049995,#cccccc,-1
ZBTB10_NegCtrl0,114.80606,111.27036,#cccccc,-1
ZBTB10_PTPN12,114.252754,111.32844,#cccccc,-1
ZBTB10_SNAI1,115.07357,111.65451,#5f57db,12
ZBTB1_NegCtrl0,114.14417,117.11674,#cccccc,-1
ZBTB25_NegCtrl0,108.89287,119.591484,#cccccc,-1
ZC3HAV1_CEBPA,116.87847,102.509674,#db9457,6
ZC3HAV1_CEBPE,112.44907,101.40272,#cccccc,-1
ZC3HAV1_HOXC13,109.9821,111.09118,#cccccc,-1
ZC3HAV1_NegCtrl0,91.61313,104.658585,#cccccc,-1
ZNF318_FOXL2,112.23287,110.790054,#cccccc,-1
ZNF318_NegCtrl0,105.057526,116.00239,#cccccc,-1
